year,year_index,species,reporting_rate,se,lower,upper
2016,16,ʻalalā,0,0.008,0,0.01568
2017,17,ʻalalā,0,0.008,0,0.01568
2018,18,ʻalalā,0,0.008,0,0.01568
2019,19,ʻalalā,0,0.008,0,0.01568
2020,20,ʻalalā,0,0.008,0,0.01568
2021,21,ʻalalā,0,0.008,0,0.01568
2022,22,ʻalalā,0,0.008,0,0.01568
2023,23,ʻalalā,0,0.008,0,0.01568
2024,24,ʻalalā,0,0.008,0,0.01568
2000,0,Christmas shearwater,0.27522896847913514,0.018,0.23994896847913513,0.3105089684791351
2001,1,Christmas shearwater,0.2810028708154759,0.018,0.24572287081547592,0.3162828708154759
2002,2,Christmas shearwater,0.2819950755721471,0.018,0.24671507557214709,0.31727507557214707
2003,3,Christmas shearwater,0.27290098662244117,0.018,0.23762098662244116,0.30818098662244114
2004,4,Christmas shearwater,0.27308978734443634,0.018,0.23780978734443634,0.3083697873444363
2005,5,Christmas shearwater,0.29761395011638336,0.018,0.2623339501163834,0.33289395011638334
2006,6,Christmas shearwater,0.2861703223171046,0.018,0.2508903223171046,0.3214503223171046
2007,7,Christmas shearwater,0.28338543382153586,0.018,0.24810543382153585,0.31866543382153584
2008,8,Christmas shearwater,0.2792935968913957,0.018,0.2440135968913957,0.3145735968913957
2009,9,Christmas shearwater,0.2667292540275515,0.018,0.23144925402755148,0.30200925402755147
2010,10,Christmas shearwater,0.27970707478911566,0.018,0.24442707478911566,0.31498707478911564
2011,11,Christmas shearwater,0.2689464468125151,0.018,0.2336664468125151,0.3042264468125151
2012,12,Christmas shearwater,0.26629645381810463,0.018,0.23101645381810462,0.3015764538181046
2013,13,Christmas shearwater,0.274046305182682,0.018,0.23876630518268202,0.309326305182682
2014,14,Christmas shearwater,0.2716724916869627,0.018,0.23639249168696272,0.3069524916869627
2015,15,Christmas shearwater,0.2765327639596138,0.018,0.2412527639596138,0.31181276395961377
2016,16,Christmas shearwater,0.2606073433965503,0.018,0.22532734339655028,0.29588734339655026
2017,17,Christmas shearwater,0.2727498619653366,0.018,0.23746986196533662,0.3080298619653366
2018,18,Christmas shearwater,0.2823798071075192,0.018,0.2470998071075192,0.3176598071075192
2019,19,Christmas shearwater,0.2635368018024269,0.018,0.22825680180242688,0.29881680180242687
2020,20,Christmas shearwater,0.26985471611952877,0.018,0.23457471611952876,0.30513471611952875
2021,21,Christmas shearwater,0.2715227154586661,0.018,0.23624271545866607,0.30680271545866605
2022,22,Christmas shearwater,0.2723614901015697,0.018,0.23708149010156968,0.30764149010156966
2023,23,Christmas shearwater,0.2893518629706001,0.018,0.25407186297060014,0.3246318629706001
2024,24,Christmas shearwater,0.2967348387781396,0.018,0.26145483877813963,0.3320148387781396
